重庆晚报--时政 cq.cqwb.com.cn/sz/node_135.htm

重庆晚报--社会 cq.cqwb.com.cn/sh/node_136.htm

重庆晚报--财经 cq.cqwb.com.cn/cj/node_137.htm

重庆晚报--快讯 cq.cqwb.com.cn/kx/node_138.htm

人民网--重庆视窗 cq.people.com.cn/index.htm 

重庆晨报--头条 cqcb.com/ 

新华网--重庆 www.cq.xinhuanet.com/

南方日报--首页 www.southcn.com/nfdaily/ 

中国日报--首页 www.chinadaily.com.cn/hqzx/ 

东方网--首页 www.eastday.com/ 

大渝网--新闻 cq.qq.com/news/ 

中华网--新闻 news.china.com/ 

人民网--首页 www.people.com.cn/ 

阳光重庆--首页 www.ygcq.com.cn/ 

重庆网络问政平台--网友问政 cqwz.cqnews.net/forums.html 

新华网--重庆 www.cq.xinhuanet.com/ 

人民网--重庆视窗 cq.people.com.cn/ 

华龙网--重庆 cq.cqnews.net/ 

华龙网--区县 cq.cqnews.net/cqqx/index.htm 

中国日报--重庆 www.chinadaily.com.cn/dfpd/cq/index.html 

新华网--首页 www.xinhuanet.com/ 

华龙网--重庆新闻 cq.cqnews.net/ 

新浪网--新闻中心 news.sina.com.cn/ 

环球网--中国新闻 china.huanqiu.com/ 

网易--国内新闻 news.163.com/domestic/ 

联合早报--即时新闻 realtime.zaobao.com/realtime.shtml 

中国网--社会要闻 news.china.com.cn/shehui/node_7125958.htm 

中国网--国内要闻 news.china.com.cn/local/node_7065265.htm 

华龙网--新闻中心 news.cqnews.net/ 

中国广播网--国内 news.cnr.cn/ 

神韵在线--国内新闻 news.sctv.com/gnxw/ 

重庆晚报--国内国际 news.cqwb.com.cn/ 

中国新闻网--地方新闻 www.chinanews.com/df/news.shtml 

京报网--即时新闻 www.bjd.com.cn/10jsxw/ 

大公网--内地新闻 gb.takungpao.com/news/china/ 

杨子晚报--社会 www.yangtse.com/news/sh/index.shtml 

新京报--即时新闻 www.bjnews.com.cn/exlist.php?ext=1155 

大河网--国内新闻 news.dahe.cn/gnxw/ 

大河网--社会新闻 news.dahe.cn/sh/ 

羊城晚报--国内 news.ycwb.com/n_gn.htm 

大众网--国内新闻 www.dzwww.com/xinwen/guoneixinwen/ 

大众网--社会新闻 www.dzwww.com/xinwen/shehuixinwen/ 

大众网--头条 www.dzwww.com/dzwpl/mspl/ 

东北网--国内 internal.dbw.cn/ 

东北网--社会 society.dbw.cn/ 

东北网--民生 ms.dbw.cn/ 

东南网--国内 www.fjsen.com/h/china.htm 

三秦都市报--国内新闻 www.sanqindaily.com/ClassList.Asp?ClassID=1 

楚天都市报--社会 news.cnhubei.com/shxw/ 

扬子晚报--时政 www.yangtse.com/news/sz/index.shtml 

扬子晚报--国内 www.yangtse.com/news/gn/index.shtml 

扬子晚报--民生 www.yangtse.com/news/ms/ 

腾讯网--国内 news.qq.com/china_index.shtml 

京报网--社会 www.bjd.com.cn/10bjxw/sh/ 

京报网--要闻 www.bjd.com.cn/jryw/ 

南方周末--首页 www.infzm.com/ 

凤凰网--即时新闻 news.ifeng.com/mainland/rt-channel/rtlist_0/index.shtml 

环球网--媒体聚焦 china.huanqiu.com/focus/ 

中国网--社会 news.china.com.cn/node_7115980.htm 

中国网--国内 news.china.com.cn/local/node_7065251.htm 

华商网--国内 news.hsw.cn/zgbd08/ 

中国日报--时政新闻 www.chinadaily.com.cn/dfpd/shizheng/index.html 

中国日报--社会新闻 www.chinadaily.com.cn/dfpd/shehui/index.html 

杨子晚报--国内 www.yangtse.com/news/gn/ 

文汇网--热点排行 trans.wenweipo.com/gb/www.wenweipo.com/listClick.php 

新浪网--国内 news.sina.com.cn/china 

光明网--重庆 cq.gmw.cn/ 

新浪网--国内 news.sina.com.cn/china/ 

网易--宏观经济 money.163.com/special/00252G50/macro.html 

新华网--时政 www.xinhuanet.com/politics/ 

搜狐网--新闻 news.sohu.com/ 

网易--滚动新闻 news.163.com/latest/ 

北方网--新闻 news.enorth.com.cn/ 

人民网--法治 legal.people.com.cn/ 

凤凰网--新闻中心 news.ifeng.com/ 

搜狐网--国内 news.sohu.com/1/0903/61/subject212846158.shtml 

新华网--社会 www.xinhuanet.com/local/ 

京报网--即时 www.bjnews.com.cn/realtime-page-1.html 

东方网--社会新闻 news.eastday.com/society/index.html 

四川新闻网--国内 china.newssc.org/shxw/ 

四川新闻网--最新消息 china.newssc.org/zxbd/ 

中青在线--法治 law.cyol.com/ 

中国网--法治 www.china.com.cn/news/law/node_7065256.htm 

中国网--国内 news.china.com.cn/index.shtml 

凤凰网--大陆 news.ifeng.com/mainland/ 

中新网--国内 www.chinanews.com/china.shtml 

中新网--新闻中心 news.chinanews.com/ 

重庆新闻网--首页 www.cq.chinanews.com/ 

三峡之窗--新闻中心 www.sxzc.com/News/ 

黔江在线--本地热点 www.409000.cn/news/local/ 

黔江新闻网--爆料台 www.wldsb.com/baoliao/ 

大渡口网--书记信箱 www.ddknews.gov.cn/home/msg_list.asp 

九龙坡网--焦点新闻 www.cqjlp.com.cn/news/jiulongpo/yaowen/ 

九龙坡网--民生新闻 www.cqjlp.com.cn/news/jiulongpo/mingsheng/ 

南岸网--街镇、部门 www.cqna.com.cn/na_Class/node_9146.htm 

重庆市北碚区政府门户网--公开信箱 www.cq.gov.cn/publicmail/citizen/releasemailbyorgid.aspx?intorganizationid=115 

武陵传媒网--武陵新闻 www.wldsb.com/news/ 

巴渝传媒网--涪陵新闻 www.bycmw.com/Category_1953/Index.aspx

凤凰网--重庆频道 cq.ifeng.com/ 

大渝网--报料台 baoliao.cq.qq.com/pc/index.html

百度新闻--国内 guonei.news.baidu.com/ 

搜狗新闻--国内 news.sogou.com/china.shtml 

搜搜新闻--国内 news.soso.com/china.shtml 

搜狗新闻--社会 news.sogou.com/society.shtml 

有道新闻--社会 news.youdao.com/top?ct=society 

山西新闻网--国内新闻 news.daynews.com.cn/gnxw/list.html 

山西新闻网--社会新闻 news.daynews.com.cn/shxw/list.html 

千龙网--要闻 china.qianlong.com 

新浪网--财经-地方经济 roll.finance.sina.com.cn/finance/gncj/dfjj/index.shtml 

新浪网--社会万象 roll.news.sina.com.cn/news/shxw/shwx/index.shtml 

光明网--新闻 news.gmw.cn/ 

新浪网--内地新闻 roll.news.sina.com.cn/news/gnxw/gdxw1/index.shtml 

百度贴吧--爆料 tieba.baidu.com/f?kw=%B1%AC%C1%CF 

百度贴吧--头条 tieba.baidu.com/tb/index/v2/toutiaohuigu.html 

綦江在线--话说綦江 www.qj023.com/forum-2-1.html 

綦江在线--綦江新闻 www.qj023.com/forum-10-1.html 

凯迪社区--西南 club.kdnet.net/list.asp?boardid=75&page=$[1-2] 

两江论坛--今日重庆 bbs.cqnews.net/forum-383-1.html 

新华网论坛--反腐 forum.home.news.cn/list/50-6-0-1.html 

猫扑论坛--闲聊茶馆 tt.mop.com/topic/list_209_210_0_0.html 

猫扑论坛--爆料台 tt.mop.com/topic/list_209_429_0_0.html 

猫扑论坛--时事评论 tt.mop.com/topic/list_70_46_0_0.html 

重庆购物狂--重庆杂谈 go.cqmmgo.com/forum-233-1.html 

凤凰网--重庆论坛 bbs.ifeng.com/forumdisplay.php?fid=379 

凤凰网--天天有料报 bbs.ifeng.com/forumdisplay.php?fid=349 

两江论坛--重庆龙门阵 bbs.cqnews.net/forum-285-1.html 

两江论坛--区县论坛 bbs.cqnews.net/forum-74-1.html 

两江论坛--重庆发展 bbs.cqnews.net/forum-72-1.html 

两江论坛--重庆生活 bbs.cqnews.net/forum-257-1.html 

网易论坛--时事论坛 bbs.news.163.com/list/shishi.html 

网易论坛--社会万象 bbs.news.163.com/list/society.html 

网易论坛--新闻贴图 bbs.news.163.com/list/photo.html 

重庆购物狂--叽里呱啦 go.cqmmgo.com/forum-13-1.html 

第一眼社区--民声在线 club.cqwb.com.cn/forum-296-1.html 

第一眼社区--山城话题 club.cqwb.com.cn/forum-295-1.html 

中新网--有料大家报 bbs.chinanews.com/forum-80-1.html 

华声论坛--辣眼时评 bbs.voc.com.cn/forum-76-1.html 

凤凰网--锵锵杂谈 bbs.ifeng.com/forumdisplay.php?fid=144 

凤凰网--凤眼看人 bbs.ifeng.com/forumdisplay.php?fid=428 

西祠胡同--重庆记者之家 www.xici.net/b681661/board.asp 

和平论坛--鹰眼求实 forum.china.com.cn/forum-570-1.html 

和平论坛--维权曝光台 forum.china.com.cn/forum-174-1.html 

和平论坛--百姓茶馆 forum.china.com.cn/forum-75-1.html 

和平论坛--舆情观察 forum.china.com.cn/forum-146-1.html 

凯迪社区--猫眼看人 club.kdnet.net/list.asp?boardid=1&page=$[1-2] 

中华网论坛--中华杂谈 club.china.com//data/threads/1638757/1.html 

中华网论坛--新闻观察 club.china.com//data/threads/2614689/1.html 

中华网论坛--中华论坛 club.china.com/data/threads/1011/1.html 

中华网论坛--社会百态 club.china.com//data/threads/3212956/1.html 

中华网论坛--新闻贴图 club.china.com//data/threads/11116332/1.html 

三峡之窗--我要爆料 www.sxzc.com/forum-43-1.html 

三峡之窗--百姓声音 www.sxzc.com/forum-44-1.html 

黔江在线--同城爆料 www.409000.cn/forum/baoliao-1-1-1.html 

黔江在线--黔江吧 www.409000.cn/forum/board-29557-1-1.html 

秀山社区--爆料 www.cqxszx.net/forum-108-1.html 

天涯论坛--重庆版块 bbs.tianya.cn/list-45-1.shtml 

天涯论坛--百姓声音 bbs.tianya.cn/list-828-1.shtml 

天涯论坛--两江情缘 bbs.tianya.cn/list-5189-1.shtml 

天涯论坛--巴山夜雨 bbs.tianya.cn/list-248-1.shtml 

天涯论坛--新闻众评 bbs.tianya.cn/list-news-1.shtml 

天涯论坛--实话实说 bbs.tianya.cn/list-972-1.shtml 

天涯论坛--传媒江湖 bbs.tianya.cn/list-no06-1.shtml 

天涯论坛--主流媒体 bbs.tianya.cn/list-877-1.shtml 

天涯论坛--天涯杂谈 bbs.tianya.cn/list-free-1.shtml 

天涯论坛--网罗天下 bbs.tianya.cn/list-no110-1.shtml 

天涯论坛--国际观察 bbs.tianya.cn/list-worldlook-1.shtml 

天涯论坛--亚洲论坛 bbs.tianya.cn/list-1089-1.shtml 

黔江新闻网--武陵论坛 www.wldsb.com/bbs/forum-52-1.html 

涪陵论坛--我爱涪陵 bbs.fuling.com/forum-5-1.html 

涪陵论坛--政网互动 bbs.fuling.com/forum-468-1.html 

涪陵论坛--天下网事 bbs.fuling.com/forum-150-1.html 

巴渝论坛--涪州杂谈 bbs.bycmw.com/forum.php?mod=forumdisplay&fid=117 

巴渝论坛--涪观天下 bbs.bycmw.com/forum.php?mod=forumdisplay&fid=118 

大渝论坛--大渝话题 mycq.qq.com/f-1001229819-1.htm 

大渝论坛--网友爆料 mycq.qq.com/f-1001229820-1.htm 

两江论坛--民生报料台 bbs.cqnews.net/forum-937-1.html 

两江论坛--民生论坛 bbs.cqnews.net/forum-934-1.html 

江津网--百姓呼声 bbs.cqjjnet.com/forum.php?mod=forumdisplay&fid=65 

江津网--滨江茶馆 bbs.cqjjnet.com/forum.php?mod=forumdisplay&fid=73 

江津发展论坛--网友爆料 bbs.e47.cn/forum_list.asp?forum_id=68 

开县论坛--凤凰山茶楼 bbs.cqkx.com/forum-2-1.html 

垫江论坛--垫江热点 bbs.cqdj520.cn/forum-68-1.html 

巫溪论坛--民生窗口 www.cqwuxi.cn/forum-245-1.html 

巫溪论坛--今日巫溪 www.cqwuxi.cn/forum-25-1.html 

诗城论坛--阳光奉节 bbs.xfjw.net/forum-70-1.html 

诗城论坛--奉节杂谈 bbs.xfjw.net/forum-2-1.html 

百度贴吧--万州吧 tieba.baidu.com/f?kw=%CD%F2%D6%DD&fr=ala0 

百度贴吧--重庆吧 tieba.baidu.com/f?kw=%D6%D8%C7%EC 

凯迪社区--西南 club.kdnet.net/list.asp?boardid=75 

新华网--时政论坛 forum.home.news.cn/listtopic.jsp?bid=84 

重庆论坛--新闻评论 bbs.classic023.com/forum-31-1.html 

重庆论坛--区县论坛 bbs.classic023.com/forum-65-1.html 

武隆在线--同城爆料 www.wulong365.com/forum/baoliao-1-1-1.html 

黑山论坛--爆料万盛 wsbbs.online.cq.cn/forum.php?mod=forumdisplay&fid=423 

黑山论坛--城市发展 wsbbs.online.cq.cn/forum.php?mod=forumdisplay&fid=377 

合川网--百姓呼声 bbs.ycw.gov.cn/forum.php?mod=forumdisplay&fid=2 

永川论坛--聚焦永川 bbs.cqyc.net/forum-2-1.html 

綦江网--闲聊杂谈 www.qjqj.com/forum-131-1.html 

綦江网--网友帮忙 www.qjqj.com/forum-129-1.html 

綦江网--綦江大市民 www.qjqj.com/forum-110-1.html 

方竹论坛--谈天说地 www.ncfz.com/forum-343-1.html 

方竹论坛--阳光政务 www.ncfz.com/forum-1539-1.html 

方竹论坛--南川新语 www.ncfz.com/forum-1000-1.html 

两江社区--万盛黑山论坛 bbs.cqnews.net/forum-915-1.html 

潼南论坛--猜都爆料 www.cqtn.cn/forum-4-1.html 

潼南论坛--潼南问吧 www.cqtn.cn/forum-170-1.html 

大足在线--大足茶馆 www.dazu.ccoo.cn/forum/board-44212-1-1.html 

大足在线--网友爆料 www.dazu.ccoo.cn/forum/board-30570-1-1.html 

大足在线--重点关注 www.dazu.ccoo.cn/forum/board-30541-1-1.html 

大足在线--大千世界 www.dazu.ccoo.cn/forum/board-103367-1-1.html 

荣昌在线--我爱荣昌 www.rc6.cn/forum-2-1.html 

荣昌在线--天下网事 www.rc6.cn/forum-36-1.html 

荣昌在线--政网互动 www.rc6.cn/forum-149-1.html 

铜梁在线--爆料 www.023tl.ccoo.cn/forum/baoliao-1-1-1.html 

铜梁在线--巴川下午茶 www.023tl.ccoo.cn/forum/board-134356-1-1.html 

